attribute_id;dispositivi_compatibili;raw_value;formatted_value;sample_values;axisGroup;code;description;formatValueOnly;formatWithUnit
44;Multiplus2;;;"1754310512:0; 1754310572:0; 1754310632:0; 1754310692:0; 1754310752:0";;eO;Overload;%s;%s
45;JK-BMS, SmartShunt;;;"1754308894:0; 1754309974:0; 1754310094:0; 1754310514:0; 1754311834:0";;BM;Model;%s;%s
46;JK-BMS, SmartShunt;;;"1754308896:0; 1754309916:0; 1754309976:0; 1754310096:0; 1754310516:0";;BV;Firmware version;%s;%s
47;JK-BMS, SmartShunt;;;"1754254597:13.3; 1754254657:13.3; 1754254717:13.3; 1754254777:13.3; 1754254837:13.3";Battery Voltage;V;Voltage;%.2F;%.2F V
48;;;;N/A;;VS;Starter battery voltage;%.2F;%.2F V
49;JK-BMS, SmartShunt;;;"1754254600:-0.5; 1754254660:-0.5; 1754254720:-0.5; 1754254780:-0.5; 1754254840:-0.5";Battery Current;I;Current;%.2F;%.2F A
50;JK-BMS, SmartShunt;;;"1754254601:-4.4; 1754254661:-4.4; 1754254721:-4.4; 1754254781:-4.4; 1754254841:-4.4";;CE;Consumed Amphours;%.2F;%.2F Ah
51;JK-BMS, SmartShunt;;;"1754254604:96.8; 1754254664:96.7; 1754254724:96.7; 1754254784:96.7; 1754254844:96.7";Percetange;SOC;State of charge;%.1F;%.1F %%
52;JK-BMS, SmartShunt;;;"1754254605:197.03; 1754254665:198.5; 1754254725:198.58; 1754254785:198; 1754254845:198.32";;TTG;Time to go;%.2F;%.2F h
53;;;;N/A;;Alarm;Alarm;%s;%s
54;;;;N/A;;Relay;Relay status;%s;%s
55;SmartShunt;;;"1754308850:-120.1; 1754309930:-120.1; 1754310110:-120.1; 1754310470:-120.1; 1754310530:-120.1";;H1;Deepest discharge;%.2F;%.2F Ah
56;SmartShunt;;;"1754308853:-19.5; 1754309933:-19.5; 1754310113:-19.5; 1754310473:-19.5; 1754311853:-19.5";;H2;Last discharge;%.2F;%.2F Ah
57;SmartShunt;;;"1754308855:-69; 1754309935:-69; 1754310115:-69; 1754310475:-69; 1754311855:-69";;H3;Average discharge;%.2F;%.2F Ah
58;JK-BMS, SmartShunt;;;"1754308857:12; 1754309937:12; 1754310117:12; 1754310477:12; 1754311857:12";;H4;Charge cycles;%.2F;%.2F
59;SmartShunt;;;"1754308860:1; 1754309940:1; 1754310120:1; 1754310480:1; 1754311860:1";;H5;Full discharges;%.2F;%.2F
60;SmartShunt;;;"1754254683:-2566.2; 1754255343:-2566.3; 1754256063:-2566.4; 1754256723:-2566.5; 1754257443:-2566.6";;H6;Total Ah drawn;%.2F;%.2F Ah
61;SmartShunt;;;"1754308865:11.76; 1754309945:11.76; 1754310125:11.76; 1754310485:11.76; 1754311865:11.76";;H7;Minimum voltage;%.2F;%.2F V
62;SmartShunt;;;"1754308867:14.71; 1754309947:14.71; 1754310127:14.71; 1754310487:14.71; 1754311867:14.71";;H8;Maximum voltage;%.2F;%.2F V
63;SmartShunt;;;"1754254629:2.34; 1754254689:2.34; 1754254749:2.34; 1754254809:2.34; 1754254869:2.34";;H9;Time since last full charge;%.2F;%.2F
64;SmartShunt;;;"1754308872:23; 1754309952:23; 1754310072:23; 1754310492:23; 1754311872:23";;H10;Automatic syncs;%.2F;%.2F
65;SmartShunt;;;"1754308874:1; 1754309954:1; 1754310074:1; 1754310494:1; 1754311874:1";;H11;Low voltage alarms;%.2F;%.2F
66;SmartShunt;;;"1754308876:0; 1754309956:0; 1754310076:0; 1754310496:0; 1754311876:0";;H12;High voltage alarms;%.2F;%.2F
67;;;;N/A;;H13;Low starter voltage alarms;%.2F;%.2F
68;;;;N/A;;H14;High starter voltage alarms;%.2F;%.2F
69;SmartShunt;;;"1754308882:-0.01; 1754309962:-0.01; 1754310082:-0.01; 1754310502:-0.01; 1754311822:-0.01";;H15;Minimum starter voltage;%.2F;%.2F V
70;SmartShunt;;;"1754308884:0; 1754309964:0; 1754310084:0; 1754310504:0; 1754311824:0";;H16;Maximum starter voltage;%.2F;%.2F V
71;;;;N/A;;IN1;Input 1;%s;%s
72;;;;N/A;;IN2;Input 2;%s;%s
73;;;;N/A;;IN3;Input 3;%s;%s
74;;;;N/A;;T1;Temperature;%.2F;%.2F øC
75;;;;N/A;;OUT1;Output 1;%s;%s
76;;;;N/A;;OUT2;Output 2;%s;%s
77;;;;N/A;;FL;Fluid Level;%d;%d
78;;;;N/A;;FTTG;Fluid Time to Go;%d;%d
79;Multiplus2;;;"1754310460:3; 1754310520:3; 1754310580:3; 1754310640:3; 1754310700:3";;s;Switch Position;%s;%s
80;MPPT;;;"1754308903:0; 1754309923:0; 1754310103:0; 1754310463:0; 1754310523:0";;ScVt;Solar charger version;%s;%s
81;MPPT;;;"1754254665:13.3; 1754254725:13.3; 1754254785:13.3; 1754254845:13.3; 1754254905:13.3";Battery Voltage;ScV;Voltage;%.2F;%.1F V
82;MPPT;;;"1754254667:0; 1754254727:0; 1754254787:0; 1754254847:0; 1754254907:0";Battery Current;ScI;Current;%.1F;%.1F A
83;;;;N/A;;ScT;Battery temperature;%.1F;%.1F øC
84;MPPT;;;"1754254671:1; 1754254731:1; 1754254791:1; 1754254851:1; 1754254911:1";;Scs;Charger on/off;%s;%s
85;MPPT;;;"1754254674:0; 1754254734:0; 1754254794:0; 1754254854:0; 1754254914:0";;ScS;Charge state;%s;%s
86;MPPT;;;"1754254676:3.61; 1754254736:3.61; 1754254796:3.61; 1754254856:3.64; 1754254916:3.61";PV Voltage;PVV;PV voltage;%.2F;%.1F V
87;;;;N/A;;PVI;PV current;%.1F;%.1F A
88;;;;N/A;;EqP;Equalization pending;%s;%s
89;;;;N/A;;EqT;Equalization time remaining;%.0F;%.0F
90;;;;N/A;;SRelay;Relay on the charger;%s;%s
91;;;;N/A;;SceA_unused;Alarm condition;%s;%s
92;;;;N/A;;SceL;Low batt. voltage alarm;%s;%s
93;;;;N/A;;SceH;High batt. voltage alarm;%s;%s
94;MPPT;;;"1754254693:0.02; 1754254753:0.02; 1754254813:0.02; 1754254873:0.02; 1754254933:0.02";;YT;Yield today;%.2F;%.2F kWh
95;MPPT;;;"1754254695:3; 1754254755:3; 1754254815:3; 1754254875:3; 1754254935:3";;MCPT;Maximum charge power today;%d;%d W
96;MPPT;;;"1754254697:0.02; 1754254757:0.02; 1754254817:0.02; 1754254877:0.02; 1754254937:0.02";;YY;Yield yesterday;%.2F;%.2F kWh
97;MPPT;;;"1754254700:9; 1754254760:9; 1754254820:9; 1754254880:9; 1754254940:9";;MCPY;Maximum charge power yesterday;%d;%d W
98;MPPT;;;"1754254703:0; 1754254763:0; 1754254823:0; 1754254883:0; 1754254943:0";;ScERR;Error code;%s;%s
99;;;;N/A;;Pt;Solar Yield (delta);%.2F;%.2F kWh
100;;;;N/A;;Gb;Grid to battery;%.2F;%.2F kWh
101;;;;N/A;;Gc;Grid to consumers;%.2F;%.2F kWh
102;;;;N/A;;Pb;PV to battery;%.2F;%.2F kWh
103;;;;N/A;;Pg;PV to grid;%.2F;%.2F kWh
104;;;;N/A;;Pc;PV to consumers;%.2F;%.2F kWh
105;;;;N/A;;Bc;Battery to consumers;%.2F;%.2F kWh
106;MPPT;;;"1754308902:0; 1754309922:0; 1754309982:0; 1754310102:0; 1754310462:0";;ScM;Solarcharger model;%s;%s
107;MPPT;;;"1754254725:0; 1754254785:0; 1754254845:0; 1754254905:0; 1754254965:0";;ScW;Battery watts;%.0F;%.0F W
108;;;;N/A;;Bg;Battery to grid;%.2F;%.2F kWh
109;;;;N/A;;gc;Genset to consumers;%.2F;%.2F kWh
110;;;;N/A;;gb;Genset to battery;%.2F;%.2F kWh
111;;;;N/A;;P;PV - AC-coupled on output L1;%.0F;%.0F W
112;;;;N/A;;Pi;PV - AC-coupled on input L1;%.0F;%.0F W
113;;;;N/A;;Pdc;PV - DC-coupled;%.0F;%.0F W
114;JK-BMS, SmartShunt;;;"1754308862:0; 1754309942:0; 1754310122:0; 1754310482:0; 1754311862:0";;BSN;Serial Number;%s;%s
115;JK-BMS;;;"1754254746:31; 1754254806:31; 1754254866:31; 1754254926:31; 1754254986:31";;BT;Battery temperature;%.0F;%.0F øC
116;;;;N/A;Battery Voltage;VM;Mid-point voltage of the battery bank;%.2F;%.2F V
117;;;;N/A;Percetange;VMD;Mid-point deviation of the battery bank;%.1F;%.1F %%
118;MPPT;;;"1754308873:0; 1754309953:0; 1754310073:0; 1754310133:0; 1754310493:0";;ScSN;Solar charger serial number;%s;%s
119;JK-BMS, SmartShunt;;;"1754254756:0; 1754254816:0; 1754254876:0; 1754254936:0; 1754254996:0";;AL;Low voltage alarm;%s;%s
120;JK-BMS, SmartShunt;;;"1754254759:0; 1754254819:0; 1754254879:0; 1754254939:0; 1754254999:0";;AH;High voltage alarm;%s;%s
121;SmartShunt;;;"1754254762:0; 1754254822:0; 1754254882:0; 1754254942:0; 1754255002:0";;ALS;Low starter-voltage alarm;%s;%s
122;SmartShunt;;;"1754254766:0; 1754254826:0; 1754254886:0; 1754254946:0; 1754255006:0";;AHS;High starter-voltage alarm;%s;%s
123;JK-BMS, SmartShunt;;;"1754254769:0; 1754254829:0; 1754254889:0; 1754254949:0; 1754255009:0";;ASoc;Low state-of-charge alarm;%s;%s
124;JK-BMS, SmartShunt;;;"1754254772:0; 1754254832:0; 1754254892:0; 1754254952:0; 1754255012:0";;ALT;Low battery temperature alarm;%s;%s
125;JK-BMS, SmartShunt;;;"1754254775:0; 1754254835:0; 1754254895:0; 1754254955:0; 1754255015:0";;AHT;High battery temperature alarm;%s;%s
126;SmartShunt;;;"1754254778:0; 1754254838:0; 1754254898:0; 1754254958:0; 1754255018:0";;AM;Mid-voltage alarm;%s;%s
127;;;;N/A;;P2;PV - AC-coupled on output L2;%.0F;%.0F W
128;;;;N/A;;P3;PV - AC-coupled on output L3;%.0F;%.0F W
129;;;;N/A;;Pi2;PV - AC-coupled on input L2;%.0F;%.0F W
130;;;;N/A;;Pi3;PV - AC-coupled on input L3;%.0F;%.0F W
131;;;;N/A;;a1;AC Consumption L1;%.0F;%.0F W
132;;;;N/A;;a2;AC Consumption L2;%.0F;%.0F W
133;;;;N/A;;a3;AC Consumption L3;%.0F;%.0F W
134;;;;N/A;;g1;Grid L1;%.0F;%.0F W
135;;;;N/A;;g2;Grid L2;%.0F;%.0F W
136;;;;N/A;;g3;Grid L3;%.0F;%.0F W
137;;;;N/A;;gs1;Genset L1;%.0F;%.0F W
138;;;;N/A;;gs2;Genset L2;%.0F;%.0F W
139;;;;N/A;;gs3;Genset L3;%.0F;%.0F W
140;;;;N/A;;dc;DC System;%.0F;%.0F W
141;;;;N/A;;lc;Course;%.0F;%0.F Deg
142;;;;N/A;;ls;Speed;%.2F;%.2F m/s
143;;;;N/A;Battery Voltage;bv;Voltage;%.2F;%.2F V
144;;;;N/A;Percetange;bs;Battery SOC;%.1F;%.1F %%
145;;;;N/A;;ba;Battery Consumed Amphours;%.2F;%.2F Ah
146;;;;N/A;;bt;Battery Time to Go;%.2F;%.2F h
147;;;;N/A;Battery Current;bc;Current;%.2F;%.2F A
148;;;;N/A;;ipr;Remote ip address;%s;%s
149;;;;N/A;;ip;Local ip address;%s;%s
150;;;;N/A;;au;Auto update;%d;%d
151;;;;N/A;;ut;Update to;%d;%d
152;;;;N/A;;rs;Remote support port;%.0F;Port %.0F
153;;;;N/A;Battery Current;vc;VE.Bus charge current;%.1F;%.1F A
154;;;;N/A;;rss;Remote support;%s;%s
155;;;;N/A;;ALF;Low fused-voltage alarm;%s;%s
156;;;;N/A;;AHF;High fused-voltage alarm;%s;%s
157;;;;N/A;;AFB;Fuse blown alarm;%s;%s
158;JK-BMS;;;"1754254882:0; 1754254942:0; 1754255002:0; 1754255062:0; 1754255122:0";;AHIT;High internal-temperature alarm;%s;%s
159;;;;N/A;;H17;Low fused-voltage alarms;%.0F;%.0F
160;;;;N/A;;H18;High fused-voltage alarms;%.0F;%.0F
161;;;;N/A;;H19;Minimum fused voltage;%.2F;%.2F
162;;;;N/A;;H20;Maximum fused voltage;%.2F;%.2F
163;;;;N/A;;liM;JK-BMS Model;%s;%s
164;;;;N/A;;liV;JK-BMS Firmware version;%s;%s
165;JK-BMS;;;"1754254906:9; 1754254966:9; 1754255026:9; 1754255086:9; 1754255146:9";;liS;State;%s;%s
166;;;;N/A;;liE;Error;%s;%s
167;;;;N/A;;Sw;System-switch;%s;%s
168;JK-BMS;;;"1754254919:0; 1754254979:0; 1754255039:0; 1754255099:0; 1754255159:0";;B;Balancing;%s;%s
169;;;;N/A;;nB;"System; number of batteries";%.0F;%.0F
170;;;;N/A;;BP;"System; batteries parallel";%.0F;%.0F
171;;;;N/A;;BS;"System; batteries series";%.0F;%.0F
172;JK-BMS;;;"1754308874:16; 1754309954:16; 1754310074:16; 1754310494:16; 1754311814:16";;NrC;"System; number of cells per battery";%.0F;%.0F
173;JK-BMS;;;"1754254938:3.29; 1754254998:3.28; 1754255058:3.29; 1754255118:3.28; 1754255178:3.28";;mcV;Minimum cell voltage;%.2F;%.2F V
174;JK-BMS;;;"1754254941:3.29; 1754255001:3.3; 1754255061:3.29; 1754255121:3.3; 1754255181:3.29";;McV;Maximum cell voltage;%.2F;%.2F V
175;;;;N/A;;Se;"Diagnostics; shutdowns due to error";%.0F;%.0F
176;;;;N/A;;Le1;"Diagnostics; 1st last error";%s;%s
177;;;;N/A;;Le2;"Diagnostics; 2nd last error";%s;%s
178;;;;N/A;;Le3;"Diagnostics; 3rd last error";%s;%s
179;;;;N/A;;Le4;"Diagnostics; 4th last error";%s;%s
180;JK-BMS;;;"1754254962:1; 1754255022:1; 1754255082:1; 1754255142:1; 1754255262:1";;aCh;"IO; allow to charge";%s;%s
181;JK-BMS;;;"1754254966:1; 1754255026:1; 1754255086:1; 1754255146:1; 1754255206:1";;aD;"IO; allow to discharge";%s;%s
182;;;;N/A;;eRelay;"IO; external relay";%s;%s
183;;;;N/A;;liH1;"History; Min cell-voltage";%.2F;%.2F V
184;;;;N/A;;liH2;"History; Max cell-voltage";%.2F;%.2FV
185;;;;N/A;;mPr;Modem present;%s;%s
186;;;;N/A;;mRd;Modem last reboot date time;%s;%s
187;;;;N/A;;mS;Network status;%s;%s
188;;;;N/A;;mN;Network name;%s;%s
189;;;;N/A;Percetange;mSt;Signal strength;%.0F;%.0F %%
190;;;;N/A;;mRA;Roaming allowed;%s;%s
191;;;;N/A;;mSimPr;Sim-card present;%s;%s
192;;;;N/A;;mSimPi;Sim pin required;%s;%s
193;;;;N/A;;mRs;Modem reset reason;%s;%s
194;;;;N/A;;mr;Motor RPM;%.0F;%.0F
195;;;;N/A;;mt;Motor temperature;%.0F;%.0F øC
196;;;;N/A;;coV;Controller DC Voltage;%.1F;%.1F V
197;;;;N/A;;coC;Controller DC Current;%.1F;%.1F A
198;;;;N/A;;coP;Controller DC Power;%.1F;%.1F W
199;;;;N/A;;coT;Controller Temperature;%.0F;%.0F øC
200;;;;N/A;;pM;PV Multiplus2 Model;%s;%s
201;;;;N/A;;pV;PV Multiplus2 Fw version;%s;%s
202;;;;N/A;;pL;Position;%s;%s
203;;;;N/A;AC Voltage;pV1;L1 Voltage;%.1F;%.1F V
204;;;;N/A;;pI1;L1 Current;%.2F;%.2F A
205;;;;N/A;;pP1;L1 Power;%.0F;%.0F W
206;;;;N/A;;pE1;L1 Energy;%.2F;%.2F kWh
207;;;;N/A;AC Voltage;pV2;L2 Voltage;%.1F;%.1F V
208;;;;N/A;;pI2;L2 Current;%.2F;%.2F A
209;;;;N/A;;pP2;L2 Power;%.0F;%.0F W
210;;;;N/A;;pE2;L2 Energy;%.2F;%.2F kWh
211;;;;N/A;AC Voltage;pV3;L3 Voltage;%.1F;%.1F V
212;;;;N/A;;pI3;L3 Current;%.2F;%.2F A
213;;;;N/A;;pP3;L3 Power;%.0F;%.0F W
214;;;;N/A;;pE3;L3 Energy;%.2F;%.2F kWh
215;;;;N/A;;bst;Battery state;%s;%s
216;;;;N/A;;TO;VRM Log time offset;%d;%d s
217;;;;N/A;;cP;Charger model;%s;%s
218;;;;N/A;;cF;Charger version;%s;%s
219;;;;N/A;;cS;Charger serial number;%s;%s
220;;;;N/A;Battery Voltage;c0V;Output 1 - voltage;%.2F;%.2F V
221;;;;N/A;;c0I;Output 1 - current;%.1F;%.1F A
222;;;;N/A;;c0T;Output 1 - temperature;%.0F;%.0F øC
223;;;;N/A;Battery Voltage;c1V;Output 2 - voltage;%.2F;%.2F V
224;;;;N/A;;c1I;Output 2 - current;%.1F;%.1F A
225;;;;N/A;Battery Voltage;c2V;Output 3 - voltage;%.2F;%.2F V
226;;;;N/A;;c2I;Output 3 - current;%.1F;%.1F A
227;;;;N/A;;cI;AC Current;%.0F;%.0F A
228;;;;N/A;;cPo;AC Power;%.0F;%.0F W
229;;;;N/A;;cIl;AC Current limit;%.0F;%.0F A
230;;;;N/A;;cM;Charger on/off;%s;%s
231;;;;N/A;;cSt;Charge state;%s;%s
232;;;;N/A;;cE;Error;%s;%s
233;;;;N/A;;cR;Relay on the charger;%s;%s
234;;;;N/A;N/A;N/A;N/A;N/A;N/A
235;;;;N/A;;cAl;Low voltage alarm;%s;%s
236;;;;N/A;;cAh;High voltage alarm;%s;%s
237;;;;N/A;;w;Boot type;%s;%s
238;;;;N/A;;tx;Network traffic tx;%d;%d B
239;;;;N/A;;rx;Network traffic rx;%d;%d B
240;;;;N/A;Percetange;VSH;VE.Bus hidden SOC;%.1F;%.1F %%
241;MPPT;;;"1754255200:0; 1754255260:0; 1754255320:0; 1754255380:0; 1754255440:0";;SLs;Load state;%s;%s
242;MPPT;;;"1754255204:0; 1754255264:0; 1754255324:0; 1754255384:0; 1754255444:0";;SLI;Load current;%.1F;%.1F A
243;;;;N/A;;bp;Battery Power;%F;%.0F W
244;SmartShunt;;;"1754294231:34.05; 1754308871:34.05; 1754309051:34.06; 1754309951:34.06; 1754310071:34.06";;H21;Discharged Energy;%.2F;%.2F kWh
245;SmartShunt;;;"1754295555:34.59; 1754295855:34.6; 1754296155:34.61; 1754296455:34.62; 1754296695:34.63";;H22;Charged Energy;%.2F;%.2F kWh
246;;;;N/A;;pS;Status;%s;%s
247;;;;N/A;;pE;Error;%s;%s
248;;;;N/A;;ps;Serial;%s;%s
249;;;;N/A;;pF;Fronius device type;%s;%s
250;;;;N/A;;tw;Two way communication;%s;%s
251;;;;N/A;;si1;AC Input 1 ;%s;%s
252;;;;N/A;;si2;AC Input 2;%s;%s
253;;;;N/A;;shd;Has DC system;%s;%s
254;;;;N/A;;vp;VE.Bus charge power;%.0F;%.0F W
255;;;;N/A;;sl;VRM Log interval;%d;%d s
256;;;;N/A;;vl;VRM Log mode;%s;%s
257;;;;N/A;;al;User access level;%s;%s
258;;;;N/A;;mb;Modbus TCP service;%s;%s
259;;;;N/A;;od;Oceanvolt motor drive service;%s;%s
260;;;;N/A;;ov;Oceanvolt battery service;%s;%s
261;;;;N/A;;sb;Battery monitor setting;%s;%s
262;;;;N/A;;dm;Demo mode;%s;%s
263;;;;N/A;;abs;Active battery service;%s;%s
264;Multiplus2;;;"1754310498:556; 1754311758:556; 1754311818:556; 1754311878:556; 1754316678:556";;vvv;VE.Bus firmware version;%s;%s
265;Multiplus2;;;"1754310501:2629; 1754311761:2629; 1754311821:2629; 1754311881:2629; 1754316681:2629";;vvp;VE.Bus product id;%s;%s
266;;;;N/A;;tz;Time zone;%s;%s
267;;;;N/A;;Vp;Remote VNC port;%.0F;Port %.0F
268;;;;N/A;N/A;N/A;N/A;N/A;N/A
269;;;;N/A;;Vl;VNC Local;%s;%s
270;;;;N/A;;Vi;VNC Internet;%s;%s
271;;;;N/A;;sv;Synchronize VE.Bus SOC;%s;%s
272;Multiplus2;;;"1754310465:1; 1754310525:1; 1754311785:1; 1754311845:1; 1754311905:1";;vid;VE.Bus ShortIDs;%d;%d
273;;;;N/A;Percetange;SOH;State of health;%.1F;%.1F %%
274;JK-BMS;;;"1754288815:55.2; 1754288875:55.2; 1754288935:55.2; 1754288995:55.2; 1754289055:55.2";Battery Voltage;mvc;CVL - Charge Voltage Limit;%.1F;%.1F V
275;;;;N/A;Battery Voltage;mdv;DVL - Discharge Voltage Limit;%.1F;%.1F V
276;JK-BMS;;;"1754288822:40; 1754288882:40; 1754288942:40; 1754289002:40; 1754289062:40";Battery Current;mcc;CCL - Charge Current Limit;%.1F;%.1F A
277;JK-BMS;;;"1754288826:60; 1754288886:60; 1754288946:60; 1754289006:60; 1754289066:60";Battery Current;mdc;DCL - Discharge Current Limit;%.1F;%.1F A
278;;;;N/A;;fr;Free space rootfs;%d;%d B
279;;;;N/A;;fd;Data partition free space;%d;%d B
280;;;;N/A;;aps1;Hub4 power setpoint phase 1;%.0F;%.0F W
281;;;;N/A;;aps2;Hub4 power setpoint phase 2;%.0F;%.0F W
282;;;;N/A;;aps3;Hub4 power setpoint phase 3;%.0F;%.0F W
283;;;;N/A;;H4LS;Hub4 low state of charge;%s;%s
284;;;;N/A;;H4S;Hub4 sustain;%s;%s
285;MPPT;;;"1754288853:52.59; 1754288913:52.59; 1754288973:52.59; 1754289033:52.59; 1754289093:52.59";;YU;User yield;%.2F;%.2F kWh
286;JK-BMS;;;"1754288859:0; 1754288919:0; 1754288979:0; 1754289039:0; 1754289099:0";;ACI;Cell Imbalance alarm;%s;%s
287;JK-BMS;;;"1754288863:0; 1754288923:0; 1754288983:0; 1754289043:0; 1754289103:0";;AHC;High charge current alarm;%s;%s
288;JK-BMS;;;"1754288867:0; 1754288927:0; 1754288987:0; 1754289047:0; 1754289107:0";;AHD;High discharge current alarm;%s;%s
289;;;;N/A;;AIE;Internal Failure;%s;%s
290;;;;N/A;;AZAT;Air temperature sensor failure;%s;%s
291;;;;N/A;;AZBT;Battery temperature sensor failure;%s;%s
292;;;;N/A;;AZBP;Bromide pump failure;%s;%s
293;;;;N/A;;AZEB;Electric board failure;%s;%s
294;;;;N/A;;AZHT;High temperature alarm;%s;%s
295;;;;N/A;;AZHV;High voltage alarm;%s;%s
296;;;;N/A;;AZIF;Internal failure;%s;%s
297;;;;N/A;;AZL1;Leak 1 trip alarm;%s;%s
298;;;;N/A;;AZL2;Leak 2 trip alarm;%s;%s
299;;;;N/A;;AZLS;Leak sensor failure;%s;%s
300;;;;N/A;N/A;N/A;N/A;N/A;N/A
301;;;;N/A;N/A;N/A;N/A;N/A;N/A
302;;;;N/A;;AZOC;Over current alarm;%s;%s
303;;;;N/A;;AZSH;State of health alarm;%s;%s
304;;;;N/A;;AZU;Unknown error;%s;%s
305;;;;N/A;;AZZP;Zinc pump failure;%s;%s
306;;;;N/A;;cRelay;Relay 1 state;%s;%s
307;;;;N/A;;lgcb;LG circuit breaker tripped;%s;%s
308;;;;N/A;;ZID;Product Id;%s;%s
309;;;;N/A;;ZFV;Firmware version;%s;%s
310;;;;N/A;;hw;Water heater;%.0F;%.0F W
311;;;;N/A;;ha;Air heater;%.0F;%.0F W
312;;;;N/A;;hx;Water heater energy;%.2F;%.2F kWh
313;;;;N/A;;hb;Air heater energy;%.2F;%.2F kWh
314;;;;N/A;;dW;Water heating;%.2F;%.2F kWh
315;;;;N/A;;dA;Air heating;%.2F;%.2F kWh
316;Multiplus2;;;"1754310501:0; 1754311761:0; 1754311821:0; 1754311881:0; 1754316681:0";;vmc;VE.Bus connection;%s;%s
